n_frames,ball_present_frac,top2_speed_cms,rest_speed_cms,speed_ratio,mean_spacing_cm,centroid_vel_cms,sync_score,mean_hull_area,reaction_lag_frames,file,label,tactical_deviation
29,0.9655172413793104,216.3,117.0,1.85,302.6,338.2,-0.034,127124.0,23.0,Coordinated_Attack__videoplayback (3)_clip_064.csv,Coordinated Attack,2.6985485478169755
29,0.8620689655172413,325.8,183.7,1.77,205.8,125.5,0.05,156403.0,15.0,Coordinated_Attack__videoplayback (3)_clip_068.csv,Coordinated Attack,2.437182905289709
29,1.0,351.5,118.6,2.96,334.7,61.2,-0.067,66921.0,8.0,Coordinated_Attack__videoplayback (3)_clip_077.csv,Coordinated Attack,2.91107772445728
29,0.8275862068965517,311.9,158.6,1.97,216.4,255.4,0.025,84013.0,26.0,Coordinated_Attack__videoplayback (3)_clip_080.csv,Coordinated Attack,1.4756149574827997
29,0.8275862068965517,279.3,107.4,2.6,257.1,295.8,0.07,60649.0,9.0,Coordinated_Attack__videoplayback (3)_clip_084.csv,Coordinated Attack,1.9736042530722777
29,0.6896551724137931,310.2,162.0,1.92,217.4,231.3,0.174,141321.0,19.0,Coordinated_Attack__videoplayback (3)_clip_087.csv,Coordinated Attack,1.6211841476154902
29,0.7241379310344828,279.6,122.5,2.28,273.0,298.5,-0.01,102206.0,0.0,Coordinated_Attack__videoplayback (3)_clip_091.csv,Coordinated Attack,1.6789653694860396
29,0.896551724137931,249.4,137.9,1.81,255.9,214.5,0.024,165507.0,16.0,Coordinated_Attack__videoplayback (3)_clip_094.csv,Coordinated Attack,1.5411806114815707
29,1.0,248.1,164.9,1.5,279.6,276.6,0.013,87185.0,7.0,Coordinated_Attack__videoplayback (3)_clip_098.csv,Coordinated Attack,1.5204616701431597
29,0.4482758620689655,508.8,162.3,3.14,270.4,344.3,0.085,71434.0,7.0,Coordinated_Attack__videoplayback (3)_clip_102.csv,Coordinated Attack,3.8609068745117807
29,0.9655172413793104,255.6,140.9,1.81,176.5,373.0,0.063,79511.0,2.0,Coordinated_Attack__videoplayback (3)_clip_105.csv,Coordinated Attack,2.6104308713153035
29,0.9655172413793104,308.5,176.9,1.74,333.2,203.9,0.024,174023.0,16.0,Coordinated_Attack__videoplayback (3)_clip_108.csv,Coordinated Attack,1.9538029979885476
29,0.0,268.4,91.8,2.92,317.0,106.7,0.077,199345.0,,Coordinated_Attack__videoplayback (4)_clip_112.csv,Coordinated Attack,2.067477789116477
